,Unnamed: 0,L,N_part,size_mesh,E,mu,rho,E_reduction,BC_left,BC_right,section_type,b,h,t,jobname,n_part_damage,i_part_damage,ratio_reduction,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Mode_8,Mode_9,Mode_10,label
0,0,2.5,10,0.05,21000000000.0,0.3,1000,21000000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_0,0,-1,0.0,25.065,99.469,220.94,386.0,590.3,829.07,916.36,1097.4,1390.5,1703.8,healthy
1,1,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_1,1,1,0.05,25.06,99.398,220.63,385.19,588.76,826.67,911.73,1094.1,1386.5,1699.3,healthy
2,2,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_2,1,2,0.05,25.037,99.136,219.94,384.48,588.79,827.54,912.59,1095.1,1387.0,1699.3,healthy
3,3,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_3,1,3,0.05,24.999,98.977,220.37,385.65,588.77,826.17,913.97,1094.6,1387.3,1699.4,healthy
4,4,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_4,1,4,0.05,24.961,99.138,220.8,384.47,588.78,827.54,915.35,1093.9,1387.0,1699.5,healthy
5,5,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_5,1,5,0.05,24.938,99.399,220.1,385.2,588.78,826.7,916.21,1094.9,1386.5,1699.6,healthy
6,6,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_6,1,6,0.05,24.938,99.399,220.1,385.2,588.78,826.7,916.21,1094.9,1386.5,1699.6,healthy
7,7,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_7,1,7,0.05,24.961,99.138,220.8,384.47,588.78,827.54,915.35,1093.9,1387.0,1699.5,healthy
8,8,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_8,1,8,0.05,24.999,98.977,220.37,385.65,588.77,826.17,913.97,1094.6,1387.3,1699.4,healthy
9,9,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_9,1,9,0.05,25.037,99.136,219.94,384.48,588.79,827.54,912.59,1095.1,1387.0,1699.3,healthy
10,10,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_10,1,10,0.05,25.06,99.398,220.63,385.19,588.76,826.67,911.73,1094.1,1386.5,1699.3,healthy
11,11,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_11,1,1,0.15,25.048,99.232,219.9,383.3,585.2,821.24,901.13,1087.0,1377.9,1689.3,unhealthy
12,12,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_12,1,2,0.15,24.971,98.363,217.67,381.17,585.49,824.05,904.0,1089.9,1379.1,1689.4,unhealthy
13,13,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_13,1,3,0.15,24.846,97.862,219.1,384.82,585.3,819.9,908.48,1088.3,1379.9,1689.6,unhealthy
14,14,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_14,1,4,0.15,24.723,98.393,220.46,381.08,585.43,823.97,913.0,1086.5,1379.2,1689.7,unhealthy
15,15,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_15,1,5,0.15,24.649,99.237,218.22,383.41,585.37,821.49,915.85,1089.3,1378.0,1689.8,unhealthy
16,16,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_16,1,6,0.15,24.649,99.237,218.22,383.41,585.37,821.49,915.85,1089.3,1378.0,1689.8,unhealthy
17,17,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_17,1,7,0.15,24.723,98.393,220.46,381.08,585.43,823.97,913.0,1086.5,1379.2,1689.7,unhealthy
18,18,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_18,1,8,0.15,24.846,97.862,219.1,384.82,585.3,819.9,908.48,1088.3,1379.9,1689.6,unhealthy
19,19,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_19,1,9,0.15,24.971,98.363,217.67,381.17,585.49,824.05,904.0,1089.9,1379.1,1689.4,unhealthy
20,20,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_20,1,10,0.15,25.048,99.232,219.9,383.3,585.2,821.24,901.13,1087.0,1377.9,1689.3,unhealthy
21,21,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_21,1,1,0.25,25.034,99.021,218.98,380.94,580.85,814.81,888.29,1078.8,1368.2,1678.1,unhealthy
22,22,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_22,1,2,0.25,24.887,97.409,214.99,377.44,581.76,819.78,893.64,1083.3,1369.7,1678.2,unhealthy
23,23,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_23,1,3,0.25,24.655,96.533,217.64,383.78,581.18,812.93,901.79,1081.1,1370.7,1678.1,unhealthy
24,24,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_24,1,4,0.25,24.431,97.507,220.04,377.14,581.59,819.55,910.09,1078.3,1369.9,1677.9,unhealthy
25,25,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_25,1,5,0.25,24.296,99.039,216.0,381.3,581.39,815.55,915.39,1082.4,1368.5,1677.8,unhealthy
26,26,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_26,1,6,0.25,24.296,99.039,216.0,381.3,581.39,815.55,915.39,1082.4,1368.5,1677.8,unhealthy
27,27,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_27,1,7,0.25,24.431,97.507,220.04,377.14,581.59,819.55,910.09,1078.3,1369.9,1677.9,unhealthy
28,28,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_28,1,8,0.25,24.655,96.533,217.64,383.78,581.18,812.93,901.79,1081.1,1370.7,1678.1,unhealthy
29,29,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_29,1,9,0.25,24.887,97.409,214.99,377.44,581.76,819.78,893.64,1083.3,1369.7,1678.2,unhealthy
30,30,2.5,10,0.05,21000000000.0,0.3,1000,15750000000.0,pinned,pinned,I-section,0.055,0.05,0.001,jobbeam_30,1,10,0.25,25.034,99.021,218.98,380.94,580.85,814.81,888.29,1078.8,1368.2,1678.1,unhealthy
31,31,2.5,10,0.05,21000000000.0,0.3,1000,21000000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_31,0,-1,0.0,25.065,99.469,220.94,386.0,590.3,829.07,916.36,1097.4,1390.5,1703.8,healthy
32,32,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_32,1,1,0.05,25.06,99.398,220.63,385.19,588.76,826.67,911.73,1094.1,1386.5,1699.3,healthy
33,33,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_33,1,2,0.05,25.037,99.136,219.94,384.48,588.79,827.54,912.59,1095.1,1387.0,1699.3,healthy
34,34,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_34,1,3,0.05,24.999,98.977,220.37,385.65,588.77,826.17,913.97,1094.6,1387.3,1699.4,healthy
35,35,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_35,1,4,0.05,24.961,99.138,220.8,384.47,588.78,827.54,915.35,1093.9,1387.0,1699.5,healthy
36,36,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_36,1,5,0.05,24.938,99.399,220.1,385.2,588.78,826.7,916.21,1094.9,1386.5,1699.6,healthy
37,37,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_37,1,6,0.05,24.938,99.399,220.1,385.2,588.78,826.7,916.21,1094.9,1386.5,1699.6,healthy
38,38,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_38,1,7,0.05,24.961,99.138,220.8,384.47,588.78,827.54,915.35,1093.9,1387.0,1699.5,healthy
39,39,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_39,1,8,0.05,24.999,98.977,220.37,385.65,588.77,826.17,913.97,1094.6,1387.3,1699.4,healthy
40,40,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_40,1,9,0.05,25.037,99.136,219.94,384.48,588.79,827.54,912.59,1095.1,1387.0,1699.3,healthy
41,41,2.5,10,0.05,21000000000.0,0.3,1000,19950000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_41,1,10,0.05,25.06,99.398,220.63,385.19,588.76,826.67,911.73,1094.1,1386.5,1699.3,healthy
42,42,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_42,1,1,0.15,25.048,99.232,219.9,383.3,585.2,821.24,901.13,1087.0,1377.9,1689.3,unhealthy
43,43,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_43,1,2,0.15,24.971,98.363,217.67,381.17,585.49,824.05,904.0,1089.9,1379.1,1689.4,unhealthy
44,44,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_44,1,3,0.15,24.846,97.862,219.1,384.82,585.3,819.9,908.48,1088.3,1379.9,1689.6,unhealthy
45,45,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_45,1,4,0.15,24.723,98.393,220.46,381.08,585.43,823.97,913.0,1086.5,1379.2,1689.7,unhealthy
46,46,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_46,1,5,0.15,24.649,99.237,218.22,383.41,585.37,821.49,915.85,1089.3,1378.0,1689.8,unhealthy
47,47,2.5,10,0.05,21000000000.0,0.3,1000,17850000000.0,pinned,fixed,I-section,0.055,0.05,0.001,jobbeam_47,1,6,0.15,24.649,99.237,218.22,383.41,585.37,821.49,915.85,1089.3,1378.0,1689.8,unhealthy
